,day,count
1016,20091108,10
1017,20091109,8
1018,20091110,14
1019,20091111,17
1020,20091112,11
1021,20091113,17
1022,20091114,8
1023,20091115,11
1024,20091116,16
1025,20091117,11
1026,20091118,12
1027,20091119,12
1028,20091120,11
1029,20091121,8
1030,20091122,17
1031,20091123,17
1032,20091124,13
1033,20091125,8
1034,20091126,13
1035,20091127,5
1036,20091128,4
1037,20091129,8
1038,20091130,9
1039,20091201,13
1040,20091202,5
1041,20091203,9
1042,20091204,12
1043,20091205,4
1044,20091206,8
1045,20091207,14
1046,20091208,14
1047,20091209,6
1048,20091210,8
1049,20091211,7
1050,20091212,4
1051,20091213,11
1052,20091214,11
1053,20091215,19
1054,20091216,16
1055,20091217,12
1056,20091218,6
1057,20091219,5
1058,20091220,7
1059,20091221,16
1060,20091222,12
1061,20091223,25
1062,20091224,21
1063,20091225,17
1064,20091226,15
1065,20091227,13
1066,20091228,7
1067,20091229,6
1068,20091230,10
1069,20091231,3
1070,20060100,6
1071,20060102,10
1072,20060103,9
1073,20060104,5
1074,20060105,7
1075,20060106,6
1076,20060107,6
1077,20060108,5
1078,20060109,3
1079,20060110,1
1080,20060111,4
1081,20060112,2
1082,20060113,2
1083,20060114,5
1084,20060115,1
1085,20060116,5
1086,20060117,9
1087,20060118,13
1088,20060119,15
1089,20060120,13
1090,20060121,12
1091,20060122,17
1092,20060123,24
1093,20060124,28
1094,20060125,10
1095,20060126,10
1096,20060127,15
1097,20060128,6
1098,20060129,13
1099,20060130,14
1100,20060131,5
1101,20060190,1
1102,20060201,14
1103,20060202,28
1104,20060203,12
1105,20060204,16
1106,20060205,19
1107,20060206,13
1108,20060207,16
1109,20060208,12
1110,20060209,12
1111,20060210,13
1112,20060211,11
1113,20060212,18
1114,20060213,16
1115,20060214,18
1116,20060215,12
1117,20060216,17
1118,20060217,16
1119,20060218,12
1120,20060219,19
1121,20060220,17
1122,20060221,16
1123,20060222,13
1124,20060223,10
1125,20060224,18
1126,20060225,15
1127,20060226,13
1128,20060227,18
1129,20060228,20
1130,20060301,5
1131,20060302,10
1132,20060303,12
1133,20060304,6
1134,20060305,1
1135,20060306,3
1136,20060307,8
1137,20060308,1
1138,20060309,3
1139,20060310,4
1140,20060311,1
1141,20060312,4
1142,20060313,13
1143,20060314,2
1144,20060315,2
1145,20060316,8
1146,20060317,2
1147,20060318,2
1148,20060319,3
1149,20060320,1
1150,20060322,6
1151,20060323,6
1152,20060324,3
1153,20060325,2
1154,20060326,5
1155,20060327,3
1156,20060328,2
1157,20060329,1
1158,20060330,1
1159,20060401,30
1160,20060402,32
1161,20060403,35
1162,20060404,24
1163,20060405,19
1164,20060406,19
1165,20060407,23
1166,20060408,18
1167,20060409,14
1168,20060410,29
1169,20060411,18
1170,20060412,34
1171,20060413,32
1172,20060414,31
1173,20060415,11
1174,20060416,2
1175,20060417,1
1176,20060419,3
1177,20060420,3
1178,20060421,2
1179,20060422,5
1180,20060423,4
1181,20060424,1
1182,20060425,3
1183,20060427,5
1184,20060428,4
1185,20060429,2
1186,20060430,1
1187,20060501,12
1188,20060502,9
1189,20060503,6
1190,20060504,6
1191,20060505,4
1192,20060506,7
1193,20060507,6
1194,20060508,5
1195,20060509,8
1196,20060510,5
1197,20060511,11
1198,20060512,10
1199,20060513,7
1200,20060514,10
1201,20060515,9
1202,20060516,7
1203,20060517,8
1204,20060518,8
1205,20060519,5
1206,20060520,7
1207,20060521,9
1208,20060522,11
1209,20060523,3
1210,20060524,1
1211,20060525,7
1212,20060526,4
1213,20060527,4
1214,20060528,13
1215,20060529,3
1216,20060530,5
1217,20060531,5
1218,20060601,5
1219,20060602,5
1220,20060603,2
1221,20060604,4
1222,20060605,5
1223,20060606,4
1224,20060607,3
1225,20060608,3
1226,20060609,3
1227,20060610,2
1228,20060611,6
1229,20060612,8
1230,20060613,1
1231,20060614,4
1232,20060615,8
1233,20060616,5
1234,20060617,1
1235,20060618,4
1236,20060619,3
1237,20060620,1
1238,20060622,3
1239,20060623,4
1240,20060624,11
1241,20060625,3
1242,20060626,1
1243,20060627,4
1244,20060628,8
1245,20060629,4
1246,20060630,5
1247,20060701,8
1248,20060702,17
1249,20060703,24
1250,20060704,17
1251,20060705,22
1252,20060706,27
1253,20060707,30
1254,20060708,6
1255,20060709,2
1256,20060710,12
1257,20060711,8
1258,20060712,13
1259,20060713,6
1260,20060714,3
1261,20060715,7
1262,20060716,7
1263,20060717,4
1264,20060718,4
1265,20060719,13
1266,20060720,3
1267,20060721,4
1268,20060722,3
1269,20060723,3
1270,20060724,4
1271,20060725,1
1272,20060726,1
1273,20060727,4
1274,20060728,4
1275,20060729,3
1276,20060730,4
1277,20060731,7
1278,20060801,20
1279,20060802,21
1280,20060803,19
1281,20060804,6
1282,20060805,11
1283,20060806,11
1284,20060807,13
1285,20060808,10
1286,20060809,6
1287,20060810,5
1288,20060811,4
1289,20060812,2
1290,20060813,11
1291,20060814,6
1292,20060815,3
1293,20060816,2
1294,20060817,3
1295,20060818,7
1296,20060819,7
1297,20060820,4
1298,20060821,4
1299,20060822,6
1300,20060823,6
1301,20060824,10
1302,20060825,3
1303,20060826,5
1304,20060827,5
1305,20060828,12
1306,20060829,11
1307,20060830,4
1308,20060831,4
1309,20060901,6
1310,20060902,6
1311,20060903,2
1312,20060904,2
1313,20060905,3
1314,20060906,7
1315,20060907,5
1316,20060908,7
1317,20060909,1
1318,20060910,6
1319,20060911,9
1320,20060912,10
1321,20060913,5
1322,20060914,2
1323,20060915,4
1324,20060916,5
1325,20060917,6
1326,20060918,8
1327,20060919,2
1328,20060920,5
1329,20060921,5
1330,20060922,3
1331,20060923,5
1332,20060924,1
1333,20060925,6
1334,20060926,7
1335,20060927,7
1336,20060928,11
1337,20060929,8
1338,20060930,4
1339,20061001,5
1340,20061002,5
1341,20061003,5
1342,20061004,8
1343,20061005,6
1344,20061006,5
1345,20061007,4
1346,20061008,4
1347,20061009,5
1348,20061010,9
1349,20061011,2
1350,20061012,7
1351,20061013,3
1352,20061014,9
1353,20061015,10
1354,20061016,12
1355,20061017,3
1356,20061018,5
1357,20061019,10
1358,20061020,4
1359,20061021,6
1360,20061022,11
1361,20061023,4
1362,20061024,1
1363,20061025,3
1364,20061026,7
1365,20061027,3
1366,20061028,10
1367,20061029,8
1368,20061030,5
1369,20061031,7
1370,20061101,6
1371,20061102,4
1372,20061103,1
1373,20061104,2
1374,20061105,2
1375,20061106,4
1376,20061107,8
1377,20061108,4
1378,20061109,3
1379,20061110,6
1380,20061111,4
1381,20061112,7
1382,20061113,7
1383,20061114,3
1384,20061115,6
